Position	186.3C_495_600
	186.3C_495_600
-6.999	0.12
-6.997	0.12
-6.996	0.12
-6.995	0.12
-6.993	0.12
-6.991	0.12
-6.99	0.12
-6.989	0.12
-6.987	0.12
-6.985	0.12
-6.984	0.12
-6.983	0.12
-6.981	0.12
-6.979	0.12
-6.978	0.12
-6.977	0.12
-6.975	0.12
-6.973	0.13
-6.972	0.12
-6.97	0.12
-6.969	0.12
-6.968	0.12
-6.966	0.13
-6.964	0.12
-6.963	0.13
-6.962	0.12
-6.96	0.13
-6.958	0.12
-6.957	0.13
-6.956	0.12
-6.954	0.12
-6.952	0.12
-6.951	0.13
-6.95	0.12
-6.948	0.12
-6.946	0.13
-6.945	0.13
-6.944	0.12
-6.942	0.12
-6.94	0.12
-6.939	0.13
-6.938	0.13
-6.936	0.12
-6.935	0.12
-6.933	0.12
-6.931	0.13
-6.93	0.13
-6.929	0.13
-6.927	0.12
-6.925	0.12
-6.924	0.13
-6.923	0.12
-6.921	0.13
-6.919	0.13
-6.918	0.13
-6.917	0.13
-6.915	0.13
-6.913	0.13
-6.912	0.12
-6.911	0.13
-6.909	0.12
-6.907	0.13
-6.906	0.13
-6.905	0.13
-6.903	0.12
-6.902	0.13
-6.9	0.13
-6.898	0.13
-6.897	0.13
-6.896	0.13
-6.894	0.12
-6.892	0.12
-6.891	0.13
-6.89	0.13
-6.888	0.13
-6.886	0.13
-6.885	0.12
-6.884	0.13
-6.882	0.13
-6.88	0.13
-6.879	0.13
-6.878	0.13
-6.876	0.13
-6.874	0.13
-6.873	0.13
-6.872	0.13
-6.87	0.13
-6.869	0.13
-6.867	0.12
-6.865	0.13
-6.864	0.13
-6.863	0.13
-6.861	0.13
-6.859	0.13
-6.858	0.13
-6.857	0.13
-6.855	0.13
-6.853	0.13
-6.852	0.13
-6.851	0.13
-6.849	0.13
-6.847	0.13
-6.846	0.13
-6.845	0.13
-6.843	0.13
-6.841	0.13
-6.84	0.13
-6.839	0.13
-6.837	0.13
-6.835	0.13
-6.834	0.13
-6.832	0.13
-6.831	0.13
-6.83	0.13
-6.828	0.13
-6.826	0.13
-6.825	0.13
-6.824	0.13
-6.822	0.13
-6.82	0.13
-6.819	0.13
-6.818	0.13
-6.816	0.13
-6.814	0.13
-6.813	0.13
-6.812	0.13
-6.81	0.13
-6.808	0.13
-6.807	0.13
-6.806	0.13
-6.804	0.13
-6.802	0.13
-6.801	0.13
-6.799	0.13
-6.798	0.13
-6.797	0.13
-6.795	0.13
-6.793	0.13
-6.792	0.13
-6.791	0.13
-6.789	0.13
-6.787	0.13
-6.786	0.13
-6.785	0.13
-6.783	0.13
-6.781	0.13
-6.78	0.13
-6.779	0.13
-6.777	0.13
-6.775	0.13
-6.774	0.13
-6.773	0.13
-6.771	0.13
-6.769	0.13
-6.768	0.13
-6.766	0.13
-6.765	0.13
-6.764	0.13
-6.762	0.13
-6.76	0.13
-6.759	0.13
-6.758	0.13
-6.756	0.13
-6.754	0.13
-6.753	0.13
-6.752	0.13
-6.75	0.13
-6.748	0.13
-6.747	0.13
-6.746	0.13
-6.744	0.13
-6.742	0.13
-6.741	0.13
-6.74	0.13
-6.738	0.13
-6.736	0.13
-6.735	0.14
-6.734	0.13
-6.732	0.13
-6.731	0.13
-6.729	0.13
-6.727	0.13
-6.726	0.13
-6.725	0.13
-6.723	0.14
-6.721	0.13
-6.72	0.13
-6.719	0.13
-6.717	0.13
-6.715	0.13
-6.714	0.13
-6.713	0.13
-6.711	0.14
-6.709	0.13
-6.708	0.13
-6.707	0.13
-6.705	0.13
-6.703	0.13
-6.702	0.13
-6.701	0.13
-6.699	0.13
-6.698	0.13
-6.696	0.13
-6.694	0.13
-6.693	0.13
-6.692	0.13
-6.69	0.13
-6.688	0.13
-6.687	0.13
-6.686	0.13
-6.684	0.13
-6.682	0.13
-6.681	0.13
-6.68	0.13
-6.678	0.13
-6.676	0.13
-6.675	0.13
-6.674	0.13
-6.672	0.13
-6.67	0.13
-6.669	0.13
-6.668	0.13
-6.666	0.13
-6.665	0.13
-6.663	0.13
-6.661	0.14
-6.66	0.13
-6.659	0.13
-6.657	0.13
-6.655	0.13
-6.654	0.13
-6.653	0.13
-6.651	0.13
-6.649	0.13
-6.648	0.14
-6.647	0.13
-6.645	0.13
-6.643	0.13
-6.642	0.13
-6.641	0.13
-6.639	0.13
-6.637	0.13
-6.636	0.13
-6.635	0.13
-6.633	0.13
-6.631	0.13
-6.63	0.13
-6.628	0.13
-6.627	0.13
-6.626	0.13
-6.624	0.13
-6.622	0.13
-6.621	0.13
-6.62	0.13
-6.618	0.14
-6.616	0.14
-6.615	0.13
-6.614	0.13
-6.612	0.13
-6.61	0.13
-6.609	0.13
-6.608	0.13
-6.606	0.14
-6.604	0.13
-6.603	0.14
-6.602	0.13
-6.6	0.13
-6.598	0.13
-6.597	0.13
-6.595	0.14
-6.594	0.14
-6.593	0.13
-6.591	0.13
-6.589	0.13
-6.588	0.14
-6.587	0.14
-6.585	0.14
-6.583	0.14
-6.582	0.13
-6.581	0.14
-6.579	0.13
-6.577	0.14
-6.576	0.14
-6.575	0.14
-6.573	0.14
-6.571	0.14
-6.57	0.14
-6.569	0.14
-6.567	0.14
-6.565	0.14
-6.564	0.13
-6.563	0.14
-6.561	0.14
-6.56	0.14
-6.558	0.14
-6.556	0.14
-6.555	0.14
-6.554	0.14
-6.552	0.14
-6.55	0.14
-6.549	0.14
-6.548	0.14
-6.546	0.14
-6.544	0.14
-6.543	0.15
-6.542	0.14
-6.54	0.14
-6.538	0.14
-6.537	0.14
-6.536	0.14
-6.534	0.14
-6.532	0.14
-6.531	0.13
-6.53	0.14
-6.528	0.14
-6.527	0.14
-6.525	0.14
-6.523	0.14
-6.522	0.14
-6.521	0.14
-6.519	0.14
-6.517	0.14
-6.516	0.14
-6.515	0.14
-6.513	0.14
-6.511	0.14
-6.51	0.14
-6.509	0.14
-6.507	0.14
-6.505	0.14
-6.504	0.14
-6.503	0.13
-6.501	0.14
-6.499	0.14
-6.498	0.14
-6.497	0.14
-6.495	0.14
-6.494	0.14
-6.492	0.14
-6.49	0.14
-6.489	0.14
-6.488	0.14
-6.486	0.14
-6.484	0.14
-6.483	0.14
-6.482	0.14
-6.48	0.14
-6.478	0.14
-6.477	0.14
-6.476	0.14
-6.474	0.14
-6.472	0.14
-6.471	0.14
-6.47	0.14
-6.468	0.14
-6.466	0.14
-6.465	0.14
-6.464	0.14
-6.462	0.14
-6.46	0.14
-6.459	0.14
-6.457	0.14
-6.456	0.14
-6.455	0.14
-6.453	0.14
-6.451	0.14
-6.45	0.14
-6.449	0.14
-6.447	0.13
-6.445	0.14
-6.444	0.14
-6.443	0.14
-6.441	0.14
