Position	26.11_10.07_184.1C_496_9.26_1.00_1.3*10-6
	
-6.999	0.06
-6.997	0.06
-6.996	0.06
-6.995	0.06
-6.993	0.06
-6.991	0.06
-6.99	0.06
-6.989	0.06
-6.987	0.06
-6.985	0.06
-6.984	0.06
-6.983	0.06
-6.981	0.06
-6.979	0.06
-6.978	0.06
-6.977	0.06
-6.975	0.06
-6.973	0.06
-6.972	0.06
-6.97	0.06
-6.969	0.06
-6.968	0.06
-6.966	0.06
-6.964	0.06
-6.963	0.06
-6.962	0.06
-6.96	0.06
-6.958	0.06
-6.957	0.06
-6.956	0.06
-6.954	0.06
-6.952	0.06
-6.951	0.06
-6.95	0.06
-6.948	0.06
-6.946	0.06
-6.945	0.06
-6.944	0.06
-6.942	0.06
-6.94	0.06
-6.939	0.06
-6.938	0.06
-6.936	0.06
-6.935	0.06
-6.933	0.06
-6.931	0.06
-6.93	0.06
-6.929	0.06
-6.927	0.06
-6.925	0.06
-6.924	0.07
-6.923	0.06
-6.921	0.07
-6.919	0.06
-6.918	0.06
-6.917	0.06
-6.915	0.07
-6.913	0.07
-6.912	0.06
-6.911	0.07
-6.909	0.06
-6.907	0.06
-6.906	0.06
-6.905	0.07
-6.903	0.06
-6.902	0.06
-6.9	0.06
-6.898	0.07
-6.897	0.06
-6.896	0.06
-6.894	0.07
-6.892	0.07
-6.891	0.07
-6.89	0.06
-6.888	0.07
-6.886	0.06
-6.885	0.07
-6.884	0.07
-6.882	0.07
-6.88	0.06
-6.879	0.07
-6.878	0.07
-6.876	0.07
-6.874	0.07
-6.873	0.07
-6.872	0.07
-6.87	0.06
-6.869	0.06
-6.867	0.07
-6.865	0.07
-6.864	0.06
-6.863	0.07
-6.861	0.07
-6.859	0.06
-6.858	0.07
-6.857	0.07
-6.855	0.07
-6.853	0.07
-6.852	0.06
-6.851	0.07
-6.849	0.07
-6.847	0.07
-6.846	0.07
-6.845	0.07
-6.843	0.06
-6.841	0.07
-6.84	0.07
-6.839	0.07
-6.837	0.07
-6.835	0.07
-6.834	0.07
-6.832	0.07
-6.831	0.07
-6.83	0.07
-6.828	0.07
-6.826	0.07
-6.825	0.07
-6.824	0.07
-6.822	0.07
-6.82	0.07
-6.819	0.07
-6.818	0.07
-6.816	0.07
-6.814	0.07
-6.813	0.07
-6.812	0.07
-6.81	0.07
-6.808	0.07
-6.807	0.07
-6.806	0.07
-6.804	0.07
-6.802	0.07
-6.801	0.07
-6.799	0.07
-6.798	0.07
-6.797	0.07
-6.795	0.07
-6.793	0.07
-6.792	0.07
-6.791	0.07
-6.789	0.07
-6.787	0.07
-6.786	0.07
-6.785	0.07
-6.783	0.07
-6.781	0.07
-6.78	0.07
-6.779	0.07
-6.777	0.07
-6.775	0.07
-6.774	0.07
-6.773	0.07
-6.771	0.07
-6.769	0.07
-6.768	0.07
-6.766	0.07
-6.765	0.07
-6.764	0.07
-6.762	0.07
-6.76	0.07
-6.759	0.07
-6.758	0.08
-6.756	0.07
